"","Variable","H_p.adj","EP - GP","EP - NP","GP - NP"
"1","embed05","2.516 (1.000)","0.526","0.679","0.376"
"2","embed1","0.298 (1.000)","0.914","1.000","1.000"
"3","FWD05","0.609 (1.000)","0.749","1.000","1.000"
"4","FWD1","2.324 (1.000)","0.691","0.559","0.426"
"5","MWD05","5.015 (1.000)","0.275","0.085","0.494"
"6","MWD1","0.078 (1.000)","0.936","1.000","1.000"
"7","CWD05","6.156 (0.875)","0.305","0.040","0.311"
"8","CWD1","0.818 (1.000)","1.000","0.744","1.000"
"9","leaflit05","1.517 (1.000)","0.618","0.806","0.939"
"10","leaflit1","4.304 (1.000)","0.201","0.954","0.152"
"11","aufcov05","4.290 (1.000)","0.334","0.128","0.518"
"12","aufcov1","4.460 (1.000)","0.104","0.554","0.306"
"13","aufden05","10.534 (0.114)","0.018","0.009","0.717"
"14","aufden1","7.710 (0.423)","0.037","0.043","0.839"
"15","boulders05","29.096 (<0.001)","<0.001","<0.001","0.660"
"16","boulder1","24.649 (<0.001)","<0.001","<0.001","0.977"
"17","cobble05","0.378 (1.000)","0.779","1.000","1.000"
"18","cobble1","1.576 (1.000)","0.650","0.644","0.862"
"19","grain05","3.253 (1.000)","0.223","0.524","0.442"
"20","grain1","1.829 (1.000)","0.577","0.536","0.900"
"21","gravel05","19.383 (0.001)","0.010","0.124","<0.001"
"22","gravel1","3.207 (1.000)","0.558","0.482","0.236"
"23","sand05","12.055 (0.055)","0.201","0.062","0.002"
"24","sand1","5.956 (0.885)","0.102","0.074","0.771"
"25","silt05","6.026 (0.885)","0.087","0.845","0.080"
"26","silt1","8.985 (0.235)","0.027","0.816","0.021"
