"","Variable","H_p.adj","BD - REF","BD - UD","REF - UD","JT_p.adj"
"1","embed05","9.122 (0.240)","0.425","0.010","0.067","1070.000 (1.000)"
"2","embed1","6.666 (0.785)","0.936","0.069","0.056","1078.000 (1.000)"
"3","FWD05","6.318 (0.892)","0.528","0.143","0.047","608.000 (0.174)"
"4","FWD1","3.648 (1.000)","0.179","0.516","0.430","728.000 (1.000)"
"5","MWD05","6.207 (0.892)","0.137","0.563","0.050","616.500 (0.174)"
"6","MWD1","2.650 (1.000)","0.347","0.507","0.657","804.000 (1.000)"
"7","CWD05","11.211 (0.088)","0.141","0.120","0.002","531.000 (0.007)"
"8","CWD1","5.623 (0.962)","0.140","0.665","0.075","638.000 (0.274)"
"9","leaflit05","1.010 (1.000)","0.974","1.000","0.741","814.000 (1.000)"
"10","leaflit1","4.050 (1.000)","0.358","0.541","0.134","1027.000 (1.000)"
"11","aufcov05","5.420 (0.976)","0.704","0.144","0.088","650.000 (0.274)"
"12","aufcov1","16.627 (0.006)","0.735","0.002","0.001","498.000 (0.003)"
"13","aufden05","4.477 (1.000)","0.607","0.257","0.126","662.500 (0.341)"
"14","aufden1","5.926 (0.930)","0.631","0.135","0.063","636.000 (0.198)"
"15","boulders05","1.425 (1.000)","0.918","0.656","0.839","774.000 (1.000)"
"16","boulder1","5.894 (0.930)","0.884","0.090","0.086","726.500 (0.412)"
"17","cobble05","5.465 (0.976)","0.242","0.066","0.459","789.500 (1.000)"
"18","cobble1","6.255 (0.892)","0.653","0.056","0.113","684.000 (0.426)"
"19","grain05","2.702 (1.000)","0.775","0.379","0.439","459.000 (1.000)"
"20","grain1","1.235 (1.000)","0.770","0.910","0.889","543.000 (1.000)"
"21","gravel05","3.963 (1.000)","0.917","0.228","0.190","987.000 (1.000)"
"22","gravel1","1.015 (1.000)","0.677","0.948","1.000","902.500 (1.000)"
"23","sand05","16.896 (0.006)","0.655","0.002","0.001","1224.500 (1.000)"
"24","sand1","4.635 (1.000)","0.522","0.289","0.107","1063.500 (1.000)"
"25","silt05","3.742 (1.000)","0.618","0.359","0.159","707.000 (0.426)"
"26","silt1","2.007 (1.000)","0.881","0.472","0.520","918.000 (1.000)"
