"","Variable","H_p.adj","EP - GP","EP - NP","GP - NP"
"1","shannon","0.170 (1.000)","1.000","1.000","0.950"
"2","oforganisms","2.963 (1.000)","0.335","0.834","0.336"
"3","cotesum","1.410 (1.000)","0.708","0.601","1.000"
"4","sumoligochaeta","3.927 (1.000)","0.497","0.407","0.145"
"5","sumcrustmol","6.582 (0.564)","0.057","0.803","0.072"
"6","sumchironomidae","3.957 (1.000)","0.344","0.585","0.141"
"7","percentcote","8.007 (0.347)","0.039","0.955","0.030"
"8","percentoligochaeta","4.402 (1.000)","0.334","0.492","0.117"
"9","percentcrustmol","6.929 (0.532)","0.042","0.684","0.079"
"10","percentchironomidae","1.815 (1.000)","0.608","0.814","0.548"
"11","fbi","8.261 (0.322)","0.030","0.869","0.032"
"12","eptrichness","2.276 (1.000)","0.394","0.892","0.451"
"13","countcote","1.404 (1.000)","0.907","0.997","0.608"
"14","meanrichness","0.438 (1.000)","0.912","1.000","1.000"
"15","dominantorder","1.438 (1.000)","0.692","0.564","1.000"
"16","dominant3order","0.185 (1.000)","1.000","0.875","1.000"
"17","sumeptsumeptsumchiro","8.835 (0.265)","0.024","0.862","0.022"
"18","sumcotesumcotesumchirosumoli","8.672 (0.275)","0.058","0.475","0.014"
"19","coleoptera","7.080 (0.522)","0.073","0.695","0.039"
"20","diptera","1.815 (1.000)","0.608","0.814","0.548"
"21","ephemeroptera","6.690 (0.564)","0.038","0.524","0.125"
"22","trichoptera","0.696 (1.000)","1.000","0.983","0.950"
