"","Variable","H_p.adj","BD - REF","BD - UD","REF - UD","JT_p.adj"
"1","shannon","2.710 (1.000)","0.498","0.666","0.331","884.000 (1.000)"
"2","oforganisms","3.282 (1.000)","0.420","0.621","0.234","900.500 (1.000)"
"3","cotesum","0.749 (1.000)","1.000","0.810","1.000","798.500 (1.000)"
"4","sumoligochaeta","2.404 (1.000)","0.377","0.574","0.648","818.000 (1.000)"
"5","sumcrustmol","2.438 (1.000)","0.557","0.674","0.387","880.000 (1.000)"
"6","sumchironomidae","0.805 (1.000)","1.000","1.000","0.753","771.500 (1.000)"
"7","percentcote","0.254 (1.000)","0.855","1.000","1.000","718.500 (1.000)"
"8","percentoligochaeta","1.739 (1.000)","0.628","0.774","0.651","819.500 (1.000)"
"9","percentcrustmol","0.558 (1.000)","0.736","1.000","1.000","709.500 (1.000)"
"10","percentchironomidae","0.539 (1.000)","0.813","1.000","1.000","688.000 (1.000)"
"11","fbi","1.936 (1.000)","0.908","0.510","0.628","855.000 (1.000)"
"12","eptrichness","1.016 (1.000)","0.936","0.813","0.995","828.000 (1.000)"
"13","countcote","3.266 (1.000)","0.263","0.726","0.338","863.500 (1.000)"
"14","meanrichness","5.288 (1.000)","0.117","0.865","0.111","926.500 (1.000)"
"15","dominantorder","1.230 (1.000)","0.905","0.746","0.934","661.000 (1.000)"
"16","dominant3order","0.561 (1.000)","1.000","0.841","1.000","700.500 (1.000)"
"17","sumeptsumeptsumchiro","1.104 (1.000)","0.919","0.919","0.787","641.000 (1.000)"
"18","sumcotesumcotesumchirosumoli","0.000 (1.000)","1.000","0.996","1.000","705.000 (1.000)"
"19","coleoptera","1.344 (1.000)","0.629","0.943","0.992","747.500 (1.000)"
"20","diptera","0.539 (1.000)","0.813","1.000","1.000","688.000 (1.000)"
"21","ephemeroptera","0.470 (1.000)","1.000","1.000","0.738","719.500 (1.000)"
"22","trichoptera","3.450 (1.000)","0.309","0.955","0.223","877.000 (1.000)"
