"","Variable","H_p.adj","BD - REF","BD - UD","REF - UD","JT_p.adj"
"1","shannon","1.211 (1.000)","0.906","0.719","1.000","415.000 (1.000)"
"2","oforganisms","0.385 (1.000)","0.769","1.000","1.000","330.500 (1.000)"
"3","cotesum","1.526 (1.000)","0.754","0.698","0.757","365.500 (1.000)"
"4","sumoligochaeta","3.308 (1.000)","0.212","0.515","0.431","342.000 (1.000)"
"5","sumcrustmol","0.068 (1.000)","1.000","1.000","0.959","363.500 (1.000)"
"6","sumchironomidae","0.457 (1.000)","1.000","1.000","0.876","363.500 (1.000)"
"7","percentcote","4.609 (1.000)","0.105","0.366","0.355","385.500 (1.000)"
"8","percentoligochaeta","3.388 (1.000)","0.204","0.525","0.408","341.500 (1.000)"
"9","percentcrustmol","0.104 (1.000)","1.000","1.000","0.870","370.000 (1.000)"
"10","percentchironomidae","0.863 (1.000)","1.000","1.000","0.861","382.000 (1.000)"
"11","fbi","4.755 (1.000)","0.089","0.386","0.315","309.000 (1.000)"
"12","eptrichness","1.326 (1.000)","0.737","0.822","0.832","418.000 (1.000)"
"13","countcote","2.902 (1.000)","0.930","0.363","0.375","438.000 (1.000)"
"14","meanrichness","2.633 (1.000)","0.869","0.314","0.495","410.500 (1.000)"
"15","dominantorder","1.536 (1.000)","0.667","0.712","0.737","327.000 (1.000)"
"16","dominant3order","1.398 (1.000)","0.872","0.669","0.897","303.500 (1.000)"
"17","sumeptsumeptsumchiro","1.139 (1.000)","0.979","0.817","0.793","329.500 (1.000)"
"18","sumcotesumcotesumchirosumoli","2.034 (1.000)","0.475","0.801","0.491","344.500 (1.000)"
"19","coleoptera","1.137 (1.000)","0.777","0.891","1.000","394.000 (1.000)"
"20","diptera","0.863 (1.000)","1.000","1.000","0.861","382.000 (1.000)"
"21","ephemeroptera","1.254 (1.000)","0.836","0.904","0.679","373.500 (1.000)"
"22","trichoptera","1.736 (1.000)","0.589","0.822","0.618","420.500 (1.000)"
