"","Variable","H_p.adj","EP - GP","EP - NP","GP - NP"
"1","disturbance","0.639 (1.000)","0.845","1.000","1.000"
"2","stability","1.566 (1.000)","0.646","0.895","0.620"
"3","densio1L","1.370 (1.000)","0.736","0.827","0.778"
"4","densio05","1.217 (1.000)","0.617","1.000","0.816"
"5","densio1W","8.490 (0.301)","0.763","0.034","0.027"
"6","slope","4.112 (1.000)","0.177","0.242","0.683"
"7","buffermean","3.961 (1.000)","0.498","0.144","0.434"
"8","buffermax","6.973 (0.612)","0.980","0.066","0.047"
"9","buffermin","2.147 (1.000)","0.654","0.453","0.677"
"10","treecover","1.519 (1.000)","0.806","0.696","0.747"
"11","hishrub","2.784 (1.000)","0.522","0.292","0.672"
"12","lowshrub","4.701 (1.000)","0.453","0.092","0.381"
"13","groundcover","17.248 (0.004)","0.898","0.001","0.001"
"14","composite","10.919 (0.094)","0.635","0.006","0.024"
"15","regenerating","1.884 (1.000)","0.629","0.535","0.885"
"16","sapling","2.897 (1.000)","0.339","0.358","0.854"
"17","bigtrees","1.473 (1.000)","0.599","0.988","0.678"
"18","FWD1","2.324 (1.000)","0.691","0.559","0.426"
"19","MWD05","5.015 (1.000)","0.275","0.085","0.494"
"20","MWD1","0.078 (1.000)","0.936","1.000","1.000"
"21","CWD05","6.156 (0.875)","0.305","0.040","0.311"
"22","CWD1","0.818 (1.000)","1.000","0.744","1.000"
"23","leaflit1","4.304 (1.000)","0.201","0.954","0.152"
