"","Variable","H_p.adj","BD - REF","BD - UD","REF - UD","JT_p.adj"
"1","disturbance","54.208 (<0.001)","0.060","<0.001","<0.001","1443.500 (1.000)"
"2","stability","22.743 (<0.001)","0.280","<0.001","0.001","550.500 (0.003)"
"3","densio1L","33.995 (<0.001)","0.005","0.006","<0.001","243.000 (<0.001)"
"4","densio05","25.636 (<0.001)","0.014","0.024","<0.001","315.000 (<0.001)"
"5","densio1W","10.303 (0.052)","0.142","0.181","0.004","506.500 (0.005)"
"6","slope","3.815 (0.660)","0.183","0.604","0.334","639.000 (0.437)"
"7","buffermean","43.400 (<0.001)","0.190","<0.001","<0.001","224.500 (<0.001)"
"8","buffermax","39.326 (<0.001)","0.263","<0.001","<0.001","286.000 (<0.001)"
"9","buffermin","35.540 (<0.001)","0.117","<0.001","<0.001","272.500 (<0.001)"
"10","treecover","24.245 (<0.001)","0.546","<0.001","<0.001","387.500 (<0.001)"
"11","hishrub","18.807 (0.001)","0.687","0.001","<0.001","430.500 (<0.001)"
"12","lowshrub","18.631 (0.001)","0.008","0.203","<0.001","410.000 (<0.001)"
"13","groundcover","0.409 (0.815)","0.745","1.000","1.000","826.000 (1.000)"
"14","composite","17.077 (0.002)","0.156","0.019","<0.001","425.000 (<0.001)"
"15","regenerating","21.995 (<0.001)","0.264","0.001","<0.001","423.500 (<0.001)"
"16","sapling","13.935 (0.010)","0.066","0.112","0.001","486.000 (<0.001)"
"17","bigtrees","4.661 (0.583)","0.153","0.855","0.152","672.000 (0.161)"
"18","FWD1","3.648 (0.660)","0.179","0.516","0.430","728.000 (0.590)"
"19","MWD05","6.207 (0.359)","0.137","0.563","0.050","616.500 (0.069)"
"20","MWD1","2.650 (0.660)","0.347","0.507","0.657","804.000 (1.000)"
"21","CWD05","11.211 (0.037)","0.141","0.120","0.002","531.000 (0.002)"
"22","CWD1","5.623 (0.421)","0.140","0.665","0.075","638.000 (0.107)"
"23","leaflit1","4.050 (0.660)","0.358","0.541","0.134","1027.000 (1.000)"
